sample	corpusName	file	start	end	boundary	orthToken	lemma	wlsp	pSampleID	pStart	permalink
30-方丈	CHJ鎌倉_コア	4401_方丈記_S010_〔一〇〕境涯	55590	55610	I	いは	言う	2.3100	30-方丈1212_00010	2330	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00010,2330
30-方丈	CHJ鎌倉_コア	4401_方丈記_S012_〔一二〕閑居の気味	68760	68780	I	いへ	言う	2.3100	30-方丈1212_00012	1960	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00012,1960
30-方丈	CHJ鎌倉_コア	4401_方丈記_S012_〔一二〕閑居の気味	74100	74120	I	いへ	言う	2.3100	30-方丈1212_00012	7300	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00012,7300
30-方丈	CHJ鎌倉_コア	4401_方丈記_S012_〔一二〕閑居の気味	77140	77160	I	言ふ	言う	2.3100	30-方丈1212_00012	10340	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00012,10340
30-方丈	CHJ鎌倉_コア	4401_方丈記_S012_〔一二〕閑居の気味	78410	78430	I	いへ	言う	2.3100	30-方丈1212_00012	11610	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00012,11610
30-方丈	CHJ鎌倉_コア	4401_方丈記_S012_〔一二〕閑居の気味	78760	78780	I	言へ	言う	2.3100	30-方丈1212_00012	11960	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00012,11960
30-方丈	CHJ鎌倉_コア	4401_方丈記_S013_〔一三〕みずから心に問う	80150	80180	I	かこた	託つ	2.3100	30-方丈1212_00013	490	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00013,490
30-方丈	CHJ鎌倉_コア	4401_方丈記_S013_〔一三〕みずから心に問う	81280	81310	I	いはく	言う	2.3100	30-方丈1212_00013	1620	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00013,1620
30-方丈	CHJ鎌倉_コア	4401_方丈記_S013_〔一三〕みずから心に問う	82010	82030	I	いへ	言う	2.3100	30-方丈1212_00013	2350	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00013,2350
30-方丈	CHJ鎌倉_コア	4401_方丈記_S013_〔一三〕みずから心に問う	83030	83050	I	申し	申す	2.3100	30-方丈1212_00013	3370	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00013,3370
30-十訓	CHJ鎌倉_コア	51_十訓抄_S001_序（総序）	3280	3300	I	いふ	言う	2.3100	30-十訓1252_00001	3280	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_00001,3280
30-十訓	CHJ鎌倉_コア	51_十訓抄_S001_序（総序）	6120	6140	I	いへ	言う	2.3100	30-十訓1252_00001	6120	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_00001,6120
30-十訓	CHJ鎌倉_コア	51_十訓抄_S001_序（総序）	8170	8190	I	いへ	言う	2.3100	30-十訓1252_00001	8170	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_00001,8170
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	8690	8720	I	いはく	言う	2.3100	30-十訓1252_01000	50	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,50
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	9030	9060	I	いはく	言う	2.3100	30-十訓1252_01000	390	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,390
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	9550	9570	I	いへ	言う	2.3100	30-十訓1252_01000	910	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,910
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	10360	10380	I	いへ	言う	2.3100	30-十訓1252_01000	1720	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,1720
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	12160	12180	I	いへ	言う	2.3100	30-十訓1252_01000	3520	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,3520
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S000_一ノ序（序）	13360	13380	I	いふ	言う	2.3100	30-十訓1252_01000	4720	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01000,4720
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S001_一ノ一（１）	15100	15120	I	仰せ	仰せる	23100	30-十訓1252_01001	810	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01001,810
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S001_一ノ一（１）	15750	15770	I	いひ	言う	2.3100	30-十訓1252_01001	1460	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01001,1460
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S001_一ノ一（１）	15900	15920	I	いへ	言う	2.3100	30-十訓1252_01001	1610	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01001,1610
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S002_一ノ二（２）	19200	19220	I	いふ	言う	2.3100	30-十訓1252_01002	1290	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01002,1290
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S002_一ノ二（２）	22200	22220	I	いは	言う	2.3100	30-十訓1252_01002	4290	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01002,4290
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S003_一ノ三（３）	23340	23360	B	いひ	言う	2.3100	30-十訓1252_01003	400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01003,400
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S003_一ノ三（３）	26310	26330	I	いふ	言う	2.3100	30-十訓1252_01003	3370	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01003,3370
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S004_一ノ四（４）	28500	28520	I	いへ	言う	2.3100	30-十訓1252_01004	1430	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01004,1430
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	37500	37520	I	いひ	言う	2.3100	30-十訓1252_01006	2850	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,2850
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	39010	39030	I	いふ	言う	2.3100	30-十訓1252_01006	4360	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,4360
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	39540	39560	I	いへ	言う	2.3100	30-十訓1252_01006	4890	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,4890
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	39830	39850	I	申さ	申す	2.3100	30-十訓1252_01006	5180	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,5180
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	40040	40060	I	いふ	言う	2.3100	30-十訓1252_01006	5390	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,5390
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	40150	40190	I	のたまふ	宣う	2.3100	30-十訓1252_01006	5500	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,5500
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	40220	40240	I	いへ	言う	2.3100	30-十訓1252_01006	5570	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,5570
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	40510	40530	I	いふ	言う	2.3100	30-十訓1252_01006	5860	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,5860
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	41260	41280	I	いへ	言う	2.3100	30-十訓1252_01006	6610	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,6610
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	41360	41400	I	のたまふ	宣う	2.3100	30-十訓1252_01006	6710	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,6710
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	44200	44230	I	いはく	言う	2.3100	30-十訓1252_01006	9550	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,9550
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	44700	44720	I	いひ	言う	2.3100	30-十訓1252_01006	10050	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,10050
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	46730	46750	B	申す	申す	2.3100	30-十訓1252_01006	12080	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,12080
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	46830	46850	I	いへ	言う	2.3100	30-十訓1252_01006	12180	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,12180
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	51290	51310	I	いへ	言う	2.3100	30-十訓1252_01006	16640	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,16640
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	52250	52290	I	のたまひ	宣う	2.3100	30-十訓1252_01006	17600	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,17600
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	52760	52800	I	のたまひ	宣う	2.3100	30-十訓1252_01006	18110	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,18110
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	53670	53690	I	いひ	言う	2.3100	30-十訓1252_01006	19020	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,19020
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S006_一ノ六（６）	55250	55270	I	仰せ	仰せる	23100	30-十訓1252_01006	20600	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01006,20600
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	56880	56900	I	いへ	言う	2.3100	30-十訓1252_01007	1510	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,1510
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	57030	57050	I	いふ	言う	2.3100	30-十訓1252_01007	1660	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,1660
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	58390	58410	I	いふ	言う	2.3100	30-十訓1252_01007	3020	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,3020
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	58720	58740	I	いふ	言う	2.3100	30-十訓1252_01007	3350	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,3350
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	60500	60520	I	いふ	言う	2.3100	30-十訓1252_01007	5130	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,5130
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	60880	60900	I	いへ	言う	2.3100	30-十訓1252_01007	5510	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,5510
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	61770	61790	I	申す	申す	2.3100	30-十訓1252_01007	6400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,6400
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	62660	62680	I	いふ	言う	2.3100	30-十訓1252_01007	7290	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,7290
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	63030	63050	I	いひ	言う	2.3100	30-十訓1252_01007	7660	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,7660
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S007_一ノ七（７）	64010	64030	I	いひ	言う	2.3100	30-十訓1252_01007	8640	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01007,8640
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S008_一ノ八（８）	70930	70960	I	いはく	言う	2.3100	30-十訓1252_01008	940	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01008,940
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S008_一ノ八（８）	71330	71370	I	のたまふ	宣う	2.3100	30-十訓1252_01008	1340	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01008,1340
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S008_一ノ八（８）	71940	71980	I	のたまへ	宣う	2.3100	30-十訓1252_01008	1950	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01008,1950
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S010_一ノ十（１０）	76010	76030	I	いひ	言う	2.3100	30-十訓1252_01010	260	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01010,260
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S010_一ノ十（１０）	76520	76540	I	いへ	言う	2.3100	30-十訓1252_01010	770	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01010,770
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S010_一ノ十（１０）	76620	76640	I	いへ	言う	2.3100	30-十訓1252_01010	870	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01010,870
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S010_一ノ十（１０）	76860	76880	I	申す	申す	2.3100	30-十訓1252_01010	1110	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01010,1110
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S011_一ノ十一（１１）	81270	81290	I	詠じ	詠ずる	2.3100	30-十訓1252_01011	1780	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01011,1780
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S012_一ノ十二（１２）	82960	82990	I	いはく	言う	2.3100	30-十訓1252_01012	90	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01012,90
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S012_一ノ十二（１２）	84830	84850	I	いは	言う	2.3100	30-十訓1252_01012	1960	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01012,1960
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S012_一ノ十二（１２）	85040	85060	I	いふ	言う	2.3100	30-十訓1252_01012	2170	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01012,2170
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S014_一ノ十四（１４）	88820	88840	I	いひ	言う	2.3100	30-十訓1252_01014	1770	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01014,1770
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S015_一ノ十五（１５）	91880	91920	I	口すさみ	口ずさむ	2.3100	30-十訓1252_01015	1540	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01015,1540
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S015_一ノ十五（１５）	92370	92420	I	ひとりごち	独り言つ	2.3100	30-十訓1252_01015	2030	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01015,2030
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S015_一ノ十五（１５）	92720	92740	I	いふ	言う	2.3100	30-十訓1252_01015	2380	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01015,2380
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S016_一ノ十六（１６）	95120	95140	I	申さ	申す	2.3100	30-十訓1252_01016	180	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01016,180
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S016_一ノ十六（１６）	96710	96730	I	いひ	言う	2.3100	30-十訓1252_01016	1770	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01016,1770
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S016_一ノ十六（１６）	96960	96980	I	いひ	言う	2.3100	30-十訓1252_01016	2020	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01016,2020
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S016_一ノ十六（１６）	97350	97370	I	いは	言う	2.3100	30-十訓1252_01016	2410	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01016,2410
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S017_一ノ十七（１７）	98760	98800	I	口すさみ	口ずさむ	2.3100	30-十訓1252_01017	1350	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01017,1350
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S017_一ノ十七（１７）	99760	99780	I	いひ	言う	2.3100	30-十訓1252_01017	2350	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01017,2350
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S018_一ノ十八（１８）	100810	100830	I	いふ	言う	2.3100	30-十訓1252_01018	610	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01018,610
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S018_一ノ十八（１８）	101280	101300	I	いひ	言う	2.3100	30-十訓1252_01018	1080	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01018,1080
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S018_一ノ十八（１８）	101340	101380	I	のたまひ	宣う	2.3100	30-十訓1252_01018	1140	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01018,1140
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S018_一ノ十八（１８）	101960	101980	I	申せ	申す	2.3100	30-十訓1252_01018	1760	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01018,1760
30-十訓	CHJ鎌倉_コア	51_十訓抄_S002_上_S001_第一　人に恵を施すべき事_S018_一ノ十八（１８）	102090	102110	I	いひ	言う	2.3100	30-十訓1252_01018	1890	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01018,1890
